round	betrfs_time	betrfs_layout	btrfs_time	btrfs_layout	ext4_time	ext4_layout	f2fs_time	f2fs_layout	xfs_time	xfs_layout	zfs_time	zfs_layout
0	13.656375	1.000	60.34898758	1		89.65110779	0.9845201238	32.74703026	0.9692780338	9.667158127	0.998447205	17.3869133	0.963190184
1	13.693125	1.000	60.73689461	0.9707692308	55.04202843	0.9679878049	45.99905014	0.9546142209	40.22288322	0.9694189602	129.4798851	0.9660493827
2	13.683125	1.000	63.96794319	0.9560606061	46.2269783	0.9534534535	46.35691643	0.9403874814	48.74610901	0.9548192771	115.2119637	0.9660493827
3	12.7905		1.000	58.17914009	0.9417910448	54.67581749	0.9393491124	45.6199646	0.9265785609	40.84706306	0.940652819	76.73597336	0.9660493827
4	13.55025	1.000	11.86418533	0.9279411765	89.5049572	0.9123563218	45.31908035	0.9131693198	41.42689705	0.9269005848	87.00108528	0.9660493827
5	15.189125	1.000	11.936903	0.9144927536	63.74907494	0.8994334278	28.66792679	0.9001426534	41.71490669	0.9135446686	99.06101227	0.9660493827
6	13.6488125	1.000	12.27498055	0.9014285714	68.28284264	0.8868715084	28.52296829	0.8874824191	42.54603386	0.9005681818	82.47995377	0.9670781893
7	13.6055		1.000	12.16197014	0.8887323944	118.680954	0.8746556474	45.08185387	0.8751733703	42.69099236	0.8879551821	86.14802361	0.9660493827
8	15.4840625	1.000	12.50720024	0.8763888889	61.22899055	0.8627717391	44.71993446	0.8632010944	43.05696487	0.8756906077	94.03204918	0.9660493827
9	13.6498125	1.000	12.59207726	0.8643835616	78.0518055	0.8512064343	28.06591988	0.8515519568	51.74303055	0.863760218	87.48006821	0.9660493827
10	13.7335		1.000	39.25299644	0.8527027027	111.9759083	0.8399470899	44.54898834	0.8402130493	44.66915131	0.8521505376	141.972065	0.9670781893
11	15.8979375	1.000	40.46916962	0.8413333333	120.7811832	0.8289817232	27.85110474	0.8291721419	52.81281471	0.8408488064	140.5348778	0.9660493827
12	13.624125	1.000	19.74201202	0.8302631579	71.95496559	0.8182989691	52.65784264	0.8184176394	60.39214134	0.8298429319	156.0800076	0.9660493827
13	13.69625	1.000	39.05892372	0.8194805195	63.31396103	0.8078880407	77.55303383	0.8079385403	53.47394943	0.819121447	108.7899208	0.9660493827
14	13.6388125	1.000	41.69797897	0.808974359	80.33299446	0.7977386935	94.16294098	0.7977243995	60.97197533	0.8086734694	102.2338867	0.9660493827
15	13.624625	1.000	42.64807701	0.7987341772	74.63598251	0.7878411911	69.50211525	0.7877652934	44.95882988	0.798488665	20.85018158	0.9660493827
16	13.6581875	1.000	41.95618629	0.78875		90.29889107	0.7781862745	43.87187958	0.7780517879	46.65803909	0.7885572139	99.09796715	0.9660493827
17	13.6574375	1.000	27.80485153	0.7790123457	132.7619553	0.7687651332	69.0331459	0.7685749086	69.22721863	0.7788697789	134.4361305	0.9660493827
18	13.5434375	1.000	37.59407997	0.7695121951	76.14707947	0.759569378	93.91999245	0.7593261131	69.51594353	0.7694174757	70.09911537	0.9660493827
19	15.2735625	1.000	42.6440239	0.7602409639	77.19683647	0.7505910165	69.21601295	0.7502972652	61.47384644	0.7601918465	75.2658844	0.9670781893
20	13.644625	1.000	41.41402245	0.7511904762	78.00912857	0.7418224299	93.57690811	0.741480611	62.12711334	0.7511848341	110.1469994	0.9660493827
21	13.607375	1.000	39.40296173	0.7423529412	86.24005318	0.733256351	93.63079071	0.7328687573	72.91507721	0.7337962963	85.56199074	0.9660493827
22	13.6631875	1.000	39.80016708	0.7337209302	137.8951073	0.7248858447	102.8151512	0.7244546498	74.36680794	0.7254004577	94.16294098	0.9660493827
23	13.7083125	1.000	35.95614433	0.7252873563	145.840168	0.7167042889	94.22016144	0.7162315551	74.08595085	0.7171945701	116.6238785	0.9660493827
24	13.626		1.000	46.38600349	0.7170454545	129.6441555	0.7087053571	101.7160416	0.7081930415	74.52988625	0.7091722595	101.2129784	0.9660493827
25	13.7161875	1.000	60.54019928	0.708988764	138.4470463	0.7008830022	101.5970707	0.7003329634	96.20094299	0.7013274336	129.0171146	0.9660493827
26	13.70725	1.000	68.55201721	0.7011111111	147.685051	0.693231441	84.99312401	0.6926454446	75.03604889	0.693654267	104.1779518	0.9660493827
27	13.645125	1.000	25.36296844	0.6934065934	89.66302872	0.6857451404	101.5920639	0.6851248643	76.53188705	0.6861471861	151.6110897	0.9670781893
28	13.5790625	1.000	68.43590736	0.6858695652	132.7497959	0.6784188034	84.8031044	0.6777658432	81.59804344	0.6788008565	91.46809578	0.9660493827
29	13.6220625	1.000	86.30013466	0.6784946237	81.80308342	0.6712473573	118.0279255	0.6705632306	93.77884865	0.6716101695	101.5510559	0.9660493827
30	13.7258125	1.000	81.7360878	0.6712765957	75.59704781	0.6642259414	106.495142	0.6635120925	77.76212692	0.6645702306	122.3099232	0.9670781893
31	13.661375	1.000	88.11497688	0.6642105263	133.6610317	0.6573498965	84.5310688	0.6566077003	107.7368259	0.6576763485	109.0610027	0.9660493827
32	13.645375	1.000	51.45406723	0.6572916667	133.8250637	0.6506147541	87.10289001	0.6498455201	92.82398224	0.6509240246	109.9789143	0.9660493827
33	13.6566875	1.000	89.33997154	0.6505154639	75.63591003	0.6440162272	70.38116455	0.6432212029	81.13694191	0.6443089431	141.217947	0.9674922601
34	13.6438125	1.000	93.94311905	0.6432212029	76.02906227	0.6375502008	70.14894485	0.6367305752	108.2890034	0.6378269618	144.1438198	0.9674922601
35	12.134125	1.000	90.97409248	0.6367305752	117.0740128	0.6312127237	70.71900368	0.6303696304	79.35404778	0.6314741036	256.3729286	0.9667182663
36	13.6899375	1.000	50.15587807	0.6303696304	77.56114006	0.625		88.52005005	0.6241345203	79.62417603	0.6252465483	180.7689667	0.9674922601
37	13.68025	1.000	97.53417969	0.6252465483	117.8131104	0.6189083821	87.46290207	0.6180215475	80.26695251	0.619140625	172.8801727	0.9674922601
38	13.6648125	1.000	96.92502022	0.619140625	78.05585861	0.6129343629	148.1990814	0.6120271581	80.80792427	0.6131528046	89.80703354	0.9667182663
39	13.6946875	1.000	82.34000206	0.6125603865	109.4851494	0.6070745698	132.4532032	0.6061479347	81.21705055	0.6072796935	132.7669621	0.9674922601
40	13.6873125	1.000	101.3159752	0.6049618321	79.75196838	0.6013257576	147.8688717	0.6003805899	105.9730053	0.6015180266	88.46282959	0.9667182663
41	13.6141875	1.000	85.04796028	0.6015180266	94.3479538	0.595684803	132.4820518	0.5947219604	99.90215302	0.5958646617	193.5110092	0.9667182663
42	13.2343125	1.000	98.05798531	0.5953051643	126.8520355	0.5901486989	132.7838898	0.5891690009	82.07511902	0.5903165736	114.4850254	0.9674922601
43	13.667625	1.000	102.8389931	0.5903165736	81.22396469	0.5847145488	132.4779987	0.5837187789	127.8688908	0.5848708487	183.2690239	0.9667182663
44	12.5635		1.000	95.85189819	0.5843317972	164.0589237	0.579379562	103.1110287	0.5783684693	90.96217155	0.5795246801	79.87594604	0.9667182663
45	13.6634375	1.000	84.69200134	0.5795246801	144.3178654	0.5741410488	114.8099899	0.5731153497	91.18890762	0.5737556561	95.81685066	0.9667182663
46	13.720125	1.000	52.87718773	0.5737556561	81.93087578	0.5689964158	139.7850513	0.5679567957	92.24510193	0.5691202873	83.82582664	0.9674922601
47	12.6914375	1.000	98.22893143	0.5691202873	190.9527779	0.5639431616	139.8398876	0.5628902765	92.58008003	0.5640569395	181.6120148	0.9667182663
48	13.6980625	1.000	104.3980122	0.5640569395	82.84807205	0.5589788732	78.17101479	0.557913351	99.77388382	0.5590828924	160.9120369	0.9667182663
49	13.596375	1.000	103.7230492	0.5590828924	100.099802	0.5536181343	78.11808586	0.5530236635	93.07599068	0.5541958042	83.31799507	0.9667182663
50	13.6734375	1.000	43.20597649	0.5541958042	100.687027	0.5493079585	147.7770805	0.5482189401	121.7429638	0.5493934142	165.4520035	0.9667182663
51	13.70675	1.000	90.06094933	0.5493934142	77.10599899	0.5445969125	96.48394585	0.5434969854	93.54305267	0.5446735395	169.6660519	0.9667182663
52	13.6065625	1.000	90.69418907	0.5446735395	93.64795685	0.5399659864	146.4691162	0.5388556789	94.02394295	0.5400340716	172.6410389	0.9667182663
53	13.6411875	1.000	88.08708191	0.5400340716	153.2280445	0.5354131535	154.7808647	0.5342929721	117.2809601	0.535472973	69.36907768	0.9667182663
54	13.6168125	1.000	72.0808506	0.535472973	85.9940052	0.5309364548	129.9681664	0.529806885	94.93494034	0.5309882747	60.73498726	0.9674922601
55	13.6456875	1.000	99.43294525	0.5309882747	103.716135	0.5265339967	129.914999	0.5253955037	101.0489464	0.5265780731	120.8291054	0.9674922601
56	13.6228125	1.000	88.51504326	0.5273178808	136.3639832	0.5222039474	158.260107	0.5210569777	109.885931	0.5222405272	59.13305283	0.9674922601
57	13.688125	1.000	85.11400223	0.522559475	95.22891045	0.5179445351	158.1990719	0.5167895168	95.89099884	0.5179738562	165.6229496	0.9667182663
58	13.6103125	1.000	89.38598633	0.5202922078	95.54886818	0.5137540453	146.780014	0.5117599351	96.27699852	0.5137763371	65.21296501	0.9667182663
59	13.6440625	1.000	100.2030373	0.5161030596	139.2168999	0.5096308186	158.2529545	0.5084609186	191.3089752	0.5096463023	51.7270565	0.9667182663
60	13.591625	1.000	102.216959	0.5119808307	88.49191666	0.5055732484	158.4098339	0.5043964828	97.27501869	0.5055821372	84.74206924	0.9674922601
61	12.8020625	1.000	90.48509598	0.5079239303	105.7929993	0.5015797788	166.6140556	0.5003965107	102.875948	0.5015822785	47.58405685	0.9682662539
62	13.667875	1.000	94.09618378	0.5031446541	141.0479546	0.4968701095	166.6219234	0.4964594807	98.16980362	0.4976452119	199.3238926	0.9667182663
63	13.6356875	1.000	96.19498253	0.4988308652	91.50505066	0.4937791602	166.6460037	0.4925839188	134.3798637	0.4937694704	105.8368683	0.9667182663
64	13.7303125	1.000	96.61698341	0.4953632148	116.797924	0.4899691358	166.6588783	0.4887683966	98.76990318	0.4899536321	104.0129662	0.9667182663
65	13.6925625	1.000	89.34688568	0.4911742134	85.96801758	0.4862174579	166.6100025	0.4850115296	98.96302223	0.486196319	216.1109447	0.9677419355
66	13.729		1.000	94.32196617	0.4881949733	114.5370007	0.4817905918	144.8690891	0.4813119756	135.0297928	0.4824961948	217.0789242	0.9671215881
67	13.677125	1.000	95.59297562	0.4841149773	100.95191	0.4788838612	166.5980816	0.477668433	154.1359425	0.4788519637	106.7888737	0.9671215881
68	13.7133125	1.000	104.8719883	0.4797601199	134.7060204	0.4752994012	166.5990353	0.4740796394	99.80392456	0.4752623688	205.4419518	0.9671215881
69	13.7025625	1.000	90.39711952	0.4761904762	151.3381004	0.4717682021	166.5759087	0.4705443699	100.1839638	0.4717261905	223.3960629	0.9671215881
70	13.6663125	1.000	101.3929844	0.474112426	118.9091206	0.4682890855	87.75115013	0.467061436	100.402832	0.4682422452	233.1700325	0.9677419355
71	11.8384375	1.000	104.6020985	0.4692082111	95.16596794	0.4648609078	148.9598751	0.4632892805	121.7861176	0.4648093842	168.4219837	0.9671215881
72	13.64825	1.000	101.6888618	0.4672011662	217.5569534	0.4614825581	126.1968613	0.4602479942	123.0862141	0.461426492	222.6810455	0.9671215881
73	13.6141875	1.000	99.93195534	0.4627621114	121.9370365	0.4581529582	165.6000614	0.4569152788	102.8370857	0.4577617329	154.1981697	0.9671215881
74	13.597125	1.000	81.01201057	0.4591690544	104.2220593	0.4548710602	134.3250275	0.4536304817	111.3138199	0.4544802867	230.3831577	0.9677419355
75	13.718		1.000	104.7408581	0.4561653599	90.14201164	0.4516358464	143.0010796	0.4503925767	111.8209362	0.4515669516	119.8050976	0.9671215881
76	13.71775	1.000	102.2810936	0.4532019704	96.60196304	0.4484463277	150.4900455	0.447200567	157.337904	0.4483734088	153.799057	0.9677419355
77	13.7893125	1.000	111.7098331	0.450911641	308.3369732	0.4453015428	158.821106	0.4440534835	112.4119759	0.4452247191	136.8210316	0.9677419355
78	13.481		1.000	98.25205803	0.4472222222	105.8549881	0.4422005571	106.1751843	0.4409503843	113.0280495	0.4421199442	224.5020866	0.9677419355
79	13.6585		1.000	106.2629223	0.4440607735	123.1911182	0.439142462	114.235878	0.4378903539	113.4419441	0.4390581717	235.227108	0.9671215881
80	13.460875	1.000	100.9659767	0.4417009602	149.075985	0.4361263736	115.1888371	0.4348725017	113.6569977	0.4357388316	147.518158	0.9671215881
81	13.682375	1.000	112.9598618	0.4389911384	108.9439392	0.4328561691	99.82299805	0.4318959617	114.4220829	0.4330601093	134.1080666	0.9671215881
82	13.5974375	1.000	112.3590469	0.4354293442	108.0951691	0.4302168022	98.6328125	0.4289598912	167.4258709	0.4301221167	200.6511688	0.9677419355
83	13.6870625	1.000	113.8441563	0.4315436242	108.6080074	0.4273216689	166.7180061	0.4260634706	115.0808334	0.4272237197	209.800005	0.9677419355
84	13.65275	1.000	111.6430759	0.4290473018	117.3560619	0.4244652406	140.3169632	0.4232059021	142.8530216	0.4243641232	136.1861229	0.9671215881
85	13.6753125	1.000	114.9101257	0.4263925729	133.9538097	0.4216467463	145.1039314	0.4203864091	176.5179634	0.4215425532	275.0217915	0.9671215881
86	13.672875	1.000	105.7500839	0.4239631336	109.2979908	0.4188654354	146.1441517	0.4176042356	158.8890553	0.4187582563	161.0639095	0.9671215881
87	13.5848125	1.000	114.9070263	0.4208115183	110.6128693	0.4161205767	145.8730698	0.4148586456	116.4991856	0.4160104987	117.4600124	0.9677419355
88	13.618875	1.000	117.7098751	0.4180754226	186.2068176	0.4134114583	145.7929611	0.4121489223	116.9140339	0.4132985658	242.0110703	0.9671215881
89	13.7033125	1.000	111.841917	0.415374677	111.6628647	0.4107373868	128.839016	0.4094743673	209.9578381	0.4106217617	210.3412151	0.9671215881
90	13.6616875	1.000	116.2660122	0.4125560538	112.183094	0.4080976864	145.9879875	0.4068343005	177.4759293	0.407979408	218.4760571	0.9671215881
91	13.02075	1.000	115.557909	0.4090330789	145.2610493	0.4054916986	129.1739941	0.4042280589	117.9430485	0.405370844	127.2239685	0.9677419355
92	13.688125	1.000	113.7149334	0.407079646	336.8499279	0.4029187817	145.7371712	0.4016549968	162.9230976	0.4027954257	242.8340912	0.9677419355
93	13.6535		1.000	117.7101135	0.4041483344	122.3900318	0.4003783102	146.3868618	0.3991144845	160.943985	0.4002525253	219.7771072	0.9677419355
94	13.7033125	1.000	102.0140648	0.4025		121.888876	0.3978696742	146.0559368	0.395859473	155.2050114	0.39625		166.3730145	0.9677419355
95	12.2665		1.000	112.349987	0.3983890954	114.4990921	0.395392279	146.2528706	0.3941286696	119.2629337	0.3947696139	209.2809677	0.9671215881
96	13.6745		1.000	119.3130016	0.3967960567	114.1979694	0.3929455446	130.1999092	0.391682185	120.1660633	0.3928128872	148.3259201	0.9671215881
97	13.7025		1.000	118.803978	0.3937538273	122.895956	0.3905289053	146.8198299	0.3892658853	200.373888	0.3903940887	288.2370949	0.9673913043
98	13.6844375	1.000	119.8120117	0.391965916	189.496994	0.3881418093	146.5818882	0.3868792152	171.2939739	0.3877675841	273.072958	0.9673913043
99	13.2770625	1.000	124.3729591	0.388050694	116.6069508	0.3857837181	146.9991207	0.3840535606	120.6719875	0.3856447689	281.3279629	0.9679089027
100	13.667125	1.000	161.3139375	0.004826254826	37.222875	0.8063891578	131.0324375	0.0009794319295	38.6704375	0.8049019608	56.0765		0.9682416731